,Team,Dates
0,Arsenal,"['23:05:18', '23:12:2019']"
1,Aston Villa,['03:10:2018']
2,Brighton & Hove Albion,['20:05:2019']
3,Burnley,['30:10:2012']
4,Chelsea,"['04:07:2019', '26:01:2021']"
5,Crystal Palace,['12:09:2017']
6,Everton,"['31:05:18', '23:12:2019']"
7,Fulham,['28:02:2019']
8,Leeds United,['15:01:2018']
9,Leicester City,['27:02:2019']
10,Liverpool,['08:10:2015']
11,Manchester City,['01:07:2016']
12,Manchester United,['19:12:2018']
13,Newcastle United,['17:07:2019']
14,Sheffield United,"['12:05:2016', '13:03:2021']"
15,Southampton,['06:12:2018']
16,Tottenham Hotspur,"['20:11:2019', '19:04:2021']"
17,West Bromwich Albion,"['13:01:2019', '16:12:2020', '24:01:2021']"
18,West Ham United,"['22:05:18', '30:12:2019']"
19,Wolverhampton Wanderers,['31:05:2017']
